Spanish,English
Hola,Hello
Mundo,World
Adiós,Goodbye
Paz,Blessings
Gracias,Thank you
Vida,Life
Casa,House
Libro,Book
Arbol,Bird
Carro,Car
Libre,Free
Buenos,Dinner
Sabado,Saturday
Domingo,Sunday
Jardin,Garden
Mujer,Woman
Hombre,Man
Nina,Girl
Niño,Boy
Luna,Moon
Sol,Sun
Estrella,Star
Aire,Air
Agua,Water
Viento,Wind
Nube,Cloud
Mar,Beach
Cielo,Skies
Fuego,Fire
Tierra,Earth
Luz,Light
Oscuro,Dark
Claro,Light
Sol,Daytime
Luna,Night
Gente,People
Animales,Animals
Frutas,Fruits
Verduras,Vegetables
Comida,Food
Bebida,Beverage
Restaurant,Restaurant
Café,Coffee shop
Bar,Bar
Tea,Tea
Cerveza,Beer
Juguito,Juice
Pizza,Pizza
Hamburguesa,Hamburger
Taco,Taco
Ensalada,Salad
Bocadillo,Bread
Salsa,Sauce
Cebolla,Lettuce
Tomate,Tomato
Zumo,Juice
Vaso,Cup
Cerveza,Beer bottle
Gaseosa,Soft drink
Agua Mineral,Mineral water
Té,Coffee cup
Tea,Glass of tea
Wine,Wine bottle
Champagne,Glass of champagne
Whisky,Whiskey bottle
Vino,Vinyl record
Jugo,Fruit juice
Café,Hot beverage
Bebida,Fizzy drink
